window_index,udp_pkt_count,udp_pkt_rate,avg_pkt_len,std_pkt_len,unique_src_ips,unique_dst_ports,entropy_src_ip,burst_100ms_max,pps_change,is_udp_flood,score_udp,severity_udp,rank_by_score
5953,20,20.0,146.5,97.18050215964105,2,6,1.0,10,19.0,False,0.0,Normal,57
5962,1,1.0,342.0,0.0,1,1,0.0,1,-19.0,False,0.0,Normal,57
5971,1,1.0,342.0,0.0,1,1,0.0,1,0.0,False,0.0,Normal,57
5978,6,6.0,102.66666666666667,25.69478978746902,2,2,0.9182958340544896,6,5.0,False,0.0,Normal,57
5979,6,6.0,94.66666666666667,7.542472332656507,3,2,1.584962500721156,6,0.0,False,0.0,Normal,57
5990,8,8.0,102.0,22.282279955157193,2,3,1.0,8,2.0,False,0.0,Normal,57
6016,12,12.0,165.0,117.79643458101778,2,4,1.0,10,4.0,False,0.0,Normal,57
6021,12,12.0,165.0,117.79643458101778,2,4,1.0,10,0.0,False,0.0,Normal,57
6052,4,4.0,109.0,35.0,2,2,1.0,4,-8.0,False,0.0,Normal,57
6074,12,12.0,105.33333333333333,24.417662095749918,2,4,1.0,12,8.0,False,0.0,Normal,57
6089,12,12.0,163.0,118.92854997854805,3,3,1.4591479170272448,8,0.0,False,0.0,Normal,57
6091,8,8.0,203.0,128.0,2,3,1.0,8,-4.0,False,0.0,Normal,57
6118,56,56.0,123.21428571428571,75.17995417798605,3,11,1.4315602842833157,32,48.0,False,0.0,Normal,57
6120,20,20.0,94.3,17.966914036639682,3,5,1.3609640474436813,8,-36.0,False,0.0,Normal,57
6121,48,48.0,87.5,17.658803281460873,3,12,1.206908425151817,36,28.0,False,0.0,Normal,57
6135,4,4.0,243.0,0.0,1,1,0.0,4,-44.0,False,0.0,Normal,57
6159,8,8.0,203.0,128.0,2,3,1.0,6,4.0,False,0.0,Normal,57
6227,12,12.0,165.0,117.79643458101778,2,4,1.0,10,4.0,False,0.0,Normal,57
6236,36,36.0,123.22222222222223,76.37884782491635,2,10,1.0,24,24.0,False,0.0,Normal,57
6237,56,56.0,108.67857142857143,24.69247076023171,2,15,1.0,18,20.0,False,0.0,Normal,57
6238,68,68.0,106.61764705882354,46.298275095478544,2,18,1.0,36,12.0,False,0.0,Normal,57
